uri,streams
spotify:track:1bRpSCFv6P2OUhciByeRYR,8718758
spotify:track:03LfOYi0icz4souspZVVhq,8754615
spotify:track:3jjujdWJ72nww5eGnfs2E7,8886602
spotify:track:59L8x0xy8njj75vzVCPMqg,9044481
spotify:track:2tGvwE8GcFKwNdAXMnlbfl,9094330
spotify:track:3V1jBnDI3zCn25ONFiqwN8,9156646
spotify:track:4pt5fDVTg5GhEvEtlz9dKk,9284638
spotify:track:267NGliXM8YLVZiKAD9Otm,9444430
spotify:track:0JDrG1g5HXbfgGtRKT0ofH,9644777
spotify:track:7dT9D6117e5DbhnKxDLNW9,9683622
spotify:track:1iRvhKiXRElIH2Uf4gd95P,9855764
spotify:track:2D9itdl85AQVNpTfrxvUGj,9876783
spotify:track:059bcIhyc2SBwm6sw2AZzd,9978800
spotify:track:5stPVcRqb4qixbafP9e8lt,9979935
spotify:track:7jL2tCE0Xn2tunqWayBkte,10011370
spotify:track:7BoobGhD4x5K96Me0hqC8Q,10099011
spotify:track:1mauYRwbpoGQX6itP2FAJC,10424465
spotify:track:5RAIMjdrCEjpjaR5tBATXU,10433191
spotify:track:2sUknbm8xdLQgH7wb8xcTX,10470935
spotify:track:4SJHHpKhcuXwDsCsPqshXj,10516301
spotify:track:3GSMdtJphymHEsR8K9jT5Q,10939499
spotify:track:64ImcY4fJhY243wr20SR3e,11112938
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,11441309
spotify:track:3VT8hOC5vuDXBsHrR53WFh,11460521
spotify:track:1Utd9DbmWNHWjEuzItBmRX,11470698
spotify:track:45S5WTQEGOB1VHr1Q4FuPl,11527448
spotify:track:57Ba26w9eoXx8BBUNgRNLV,11565418
spotify:track:1beTDCe7sT7fzm8WIKXicz,11586260
spotify:track:0pqnGHJpmpxLKifKRmU6WP,11621345
spotify:track:46DU5gYWY2vjE79mbhX4Wv,11634239
spotify:track:017PF4Q3l4DBUiWoXk4OWT,11778346
spotify:track:4K8cyoCDovlc4FvtUr2Hfx,11987527
spotify:track:4C6BlqqMwjFzOXzqpTeoWR,12045315
spotify:track:6SnO4yCCYtz2rffMpEAlro,12109119
spotify:track:6PQ88X9TkUIAUIZJHW2upE,12122116
spotify:track:5CZ40GBx1sQ9agT82CLQCT,12213910
spotify:track:7xLYLM5K6S1TwiSdfuhZQg,12344630
spotify:track:3XjRIN9vEt35lm1iStPcgq,12742591
spotify:track:7vrJn5hDSXRmdXoR30KgF1,12770574
spotify:track:3K6noLeoPTQJ5jUErC8jT5,12828220
spotify:track:5PjdY0CKGZdEuoNab3yDmX,12949519
spotify:track:6CFaze42M5wiTqMidNtJLE,13402162
spotify:track:2G5kj8gYNAVM4pQ0IBBaGA,13529182
spotify:track:5HpXH64cSBNu26yhw3vK37,13616038
spotify:track:1Crj1zkRMpsEjb9NOR6Zof,13710229
spotify:track:5u6lAvdS8mmHHTHQlC3TtN,13715796
spotify:track:6w8yBI2vthyN9UnwO4UBWb,13937689
spotify:track:72kaj3MRKcGnv2dbukJQRA,13999052
spotify:track:3ke6it1vTmHtz2ApcIVUz5,14130884
spotify:track:7lPN2DXiMsVn7XUKtOW1CS,14178543
spotify:track:2fIPEgY8CJ4hh5UDZa2lB9,14443076
spotify:track:38RIEav39FGi86jppxO0du,14458401
spotify:track:0ldT3gl7aGNzrJyd4b1CA4,14538317
spotify:track:4ZplewvZRLFcfBa5uyBbhd,14550482
spotify:track:4bF2y8rR7GUjrd5LNEvej3,14678696
spotify:track:3elpkpwYlmUbuvmVps08lJ,14695535
spotify:track:4prmUBle7TtAeeUgCnsc3Z,14731092
spotify:track:48XgkAh1fkcZqA2EZWCDX6,14969464
spotify:track:6VZMIyzOupI4vA68RaUgXb,15053360
spotify:track:2mM3gZ0BbPwPPMelbA8vgt,15117353
spotify:track:27RSJHEA99Y0Vsow7nA37A,15269380
spotify:track:6NfrH0ANGmgBXyxgV2PeXt,15391818
spotify:track:0SqqAgdovOE24BzxIClpjw,15407385
spotify:track:6fmQjRuo7XvRFCK2qex5hQ,15448717
spotify:track:5wANPM4fQCJwkGd4rN57mH,15517774
spotify:track:41BzKiCrKpUQHS3TP0jmdr,15550545
spotify:track:4ggabbjjuHrG06SsYnqvEs,15619527
spotify:track:6bvfJf4KjonPMuPfGfy3S2,15957418
spotify:track:748mdHapucXQri7IAO8yFK,15957733
spotify:track:1rgnBhdG2JDFTbYkYRZAku,16112190
spotify:track:5VzNsUnLmYcRfRfxpQsusa,16209667
spotify:track:3DarAbFujv6eYNliUTyqtz,16360305
spotify:track:7xT1n5JKpB0bMPh6FL589e,16361174
spotify:track:63aj87TQG6F3RVO5nbG2VQ,16745934
spotify:track:5J7teKIJGtqVypgYI6sqXj,16843887
spotify:track:6VOb0Kkrd45Bp5RHYSla2J,16862135
spotify:track:4cV6ld7uIs906zOwNscoBM,17023479
spotify:track:70w1mwTod6NgCNV6e7ZlIQ,17139991
spotify:track:5jW3rF4URMdK7tO2xjS5EI,17142364
spotify:track:6dyUkkcyYuDiHOwIRXYOJm,17158062
spotify:track:2dl5K2ScW7jYhAhuem06cm,17247929
spotify:track:2JJSGhPpATm8lXeYjD95fw,17260726
spotify:track:26w9NTiE9NGjW1ZvIOd1So,17497952
spotify:track:7A07Yu1dRND3RKDzbhKrDs,17567927
spotify:track:2UypFzxfaYgMUnQX2k4qtj,17594813
spotify:track:7BwxbmYFy0l3ROHDjV2c14,17879345
spotify:track:6HU7h9RYOaPRFeh0R3UeAr,17951790
spotify:track:63bmZnBN1CiJ9sA4qTEe8y,18344644
spotify:track:7MmrcXVA7A5zZ2CbDuGHNa,18441513
spotify:track:1Z04XN4pH2b8JfdiaIEkl5,18516046
spotify:track:2LXOSAYiSrTfIf8smheLaz,18618755
spotify:track:6Pur3hWy6Nzc27ilmsp5HA,18843055
spotify:track:5GkeaIeCEfB0LOqk7sIVHQ,18923984
spotify:track:0cOa970mzTWAxKtltpkpLc,19296380
spotify:track:1Wrzhfa5bNlqvsnCztz190,19433664
spotify:track:55mzJ0LftLnef8sxAjrMkU,19473311
spotify:track:0dKg2vGC1hFqcK5LGTaKzX,19496439
spotify:track:5Myb8S90Wg0yLec5kmrIGJ,19548971
spotify:track:2zY1iTaEgs8ROkkWtWLe7l,19766077
spotify:track:798ahLNEcoFER7Vywg1FMT,19802486
spotify:track:478g4LSkyMB1PMkVOVmIaE,19862770
spotify:track:3D5uEBD0cAEGZGUo5j9045,19912013
spotify:track:26QApq0cuO9brJigr0C0W4,20109850
spotify:track:2bgTY4UwhfBYhGT4HUYStN,20170998
spotify:track:3fBJNawfhtgCmo58trRK2z,20181009
spotify:track:2vmfvSoZBFAt9hhRoEByLi,20412141
spotify:track:3Zf4GutWZ7Hv3wsVQsSQPs,20480051
spotify:track:6UU24wuWgGwuSBAxDH866Z,20562259
spotify:track:26xQbFpVg8JCT5NKQFJXg8,20783562
spotify:track:3D3W7rDsuJIAtjInwh6Moc,20814871
spotify:track:0PwFN7vRvY80Hnkoew2x3f,20821221
spotify:track:2TzkIzgzIHhewMxyh1u4hh,20872578
spotify:track:4G3PTss3mU33Tau7t4KbwE,21059460
spotify:track:3WQilym5Vi4ypxb70vx0eY,21124624
spotify:track:2tFwfmceQa1Y6nRPhYbEtC,21148558
spotify:track:1l77YWrGUp3qX3NS1rz7lq,21152760
spotify:track:71R8HJxQk5qMiRstrlXN9t,21176204
spotify:track:5aJ1M43pinROpwaPnO8KRj,21241609
spotify:track:43qcs9NpJhDxtG91zxFkj7,21409020
spotify:track:0G2zPzWqVjR68iNPmx2TBe,21503816
spotify:track:2DEZmgHKAvm41k4J3R2E9Y,21690089
spotify:track:4saklk6nie3yiGePpBwUoc,21699967
spotify:track:4NUt1fcnO9aQAELBgXq3Kr,22055915
spotify:track:06IceO7e9isF3nX3y7dOTe,22068586
spotify:track:4HzqWEdAbzcVFDv0pvxV4w,22161490
spotify:track:53PoPAD389bBE4ePYuT95g,22202340
spotify:track:2lCkncy6bIB0LTMT7kvrD1,22310454
spotify:track:2vBET2pmrQqafaS6zIaYta,22324393
spotify:track:1WedZeiezCmCEOzLwhx0hV,22487009
spotify:track:6UelLqGlWMcVH1E5c4H7lY,22860306
spotify:track:3HgvO4B5LLmdPOT2d8cSZd,22922520
spotify:track:2n7ohqg1s68ToAHh4u9mcW,22971964
spotify:track:6WYB1odDfMPVMyp1QxFInT,23001024
spotify:track:35wvL50xvKpCHEJPxLOLPI,23167220
spotify:track:41wtwzCZkXwpnakmwJ239F,23213583
spotify:track:69vlMrzHwATKzupwNcUPyK,23277909
spotify:track:2f0Ft2XdvNSMSY5TUlZgEz,23344486
spotify:track:63Zaf8Rci6eOUPqDQ4fUFx,23353315
spotify:track:2MeEuwplwbbjZ7hxRI6viw,23389755
spotify:track:3p6eieHX6oEOzJStPtEsLu,23393109
spotify:track:2TH65lNHgvLxCKXM3apjxI,23412931
spotify:track:7hbk4BaF66O09R1gq0bKwj,23503378
spotify:track:4OwhwvKESFtuu06dTgct7i,23513158
spotify:track:6F9yAYUaNbUhdlQyt5uZ3b,23828185
spotify:track:4DHDIdeayp8xvlyg22wREO,23884204
spotify:track:15OjBeqNX3bShsGYQbteRv,23885759
spotify:track:2XlGKZNMkRKvEJsbwQ6MCl,23925419
spotify:track:6VuUMo1TusnqBxLTnr3hOI,24079954
spotify:track:7paFC3FEu1WtPVP4Do6VZN,24249857
spotify:track:4r9jkMEnArtWGH2rL2FZl0,24320143
spotify:track:4CLkDJ4xLqkV4Vt2vPOny1,24459206
spotify:track:5y7DaS3jAc9eZzcSOoUIwU,24549982
spotify:track:00szcRmgqJGtqrfIUYkM1h,24711771
spotify:track:6f3Slt0GbA2bPZlz0aIFXN,24827292
spotify:track:4RJz8NfIe09gpKMiRUWKhJ,25349572
spotify:track:5fwSHlTEWpluwOM0Sxnh5k,25381826
spotify:track:4ZtFanR9U6ndgddUvNcjcG,25589987
spotify:track:5u7twkeask1VIyDeNTElSU,25757773
spotify:track:1nLs8r6K4YN0avBwUmmTnr,25916272
spotify:track:6sRaqq9SYsSTPvrWkL1sRy,25975427
spotify:track:4nTduFjaTmGysc9WKNuCcs,25990864
spotify:track:6RV9pRLIQiXm3qTGeyQluf,26174584
spotify:track:11EnQRgRMJwMAesfkB5pnu,26353012
spotify:track:4R8BJggjosTswLxtkw8V7P,26416871
spotify:track:3Wrjm47oTz2sjIgck11l5e,26686778
spotify:track:2QwMXe5zbqymDZGYsMDVqZ,26837822
spotify:track:3PfIrDoz19wz7qK7tYeu62,27355924
spotify:track:6ifUES3keWjwXgae8pXI3o,27358349
spotify:track:4PEfJZpVjdclfzZ9XO8uDw,27548889
spotify:track:2bgcUk2A3jjKbCJ7KPquTi,27861220
spotify:track:5jzEwSyyymBlf1fa1o39T2,27883217
spotify:track:6vPAmoERUMRoTZaCCSWQ12,28145993
spotify:track:21N4Buj4xsyLb218lYle61,28334020
spotify:track:6mm3K0yWp6uzfOMuipM9Zh,28487116
spotify:track:0tKl8ZVM6xJkhznvJAS3Nq,28714759
spotify:track:1qfoq1qvZT7VwDVeekCJ97,28818944
spotify:track:0EhpEsp4L0oRGM0vmeaN5e,29049486
spotify:track:35UUpTmrcFXNIVIN26ujXl,29078320
spotify:track:3lR4O0vtkhCAvVEUEWUL0S,29243304
spotify:track:4DdnffqoFr9wDRlCACNmGf,29566758
spotify:track:4jcxBTrNvyqMJdMDyyjdYV,29803635
spotify:track:0akyEssGRVHstqCSWXusJL,30269309
spotify:track:3VvA1wSxukMLsvXoXtlwWx,30392231
spotify:track:1uKjQoh8JZj9ryuYRhpd7E,30680490
spotify:track:37BZB0z9T8Xu7U3e65qxFy,31074153
spotify:track:4HYDUMY0xSpeBr0AMY9cUz,31972210
spotify:track:5YYW3yRktprLRr47WK219Y,33114142
spotify:track:0fea68AdmYNygeTGI4RC18,33556461
spotify:track:0vtYnEw1eJwW26BrBnOAYJ,33693206
spotify:track:67BtfxlNbhBmCDR2L2l8qd,34125386
spotify:track:2p2Q23iaaPSEa1tI6TsCVX,34169000
spotify:track:7MAibcTli4IisCtbHKrGMh,36557554
spotify:track:5RubKOuDoPn5Kj5TLVxSxY,37764514
spotify:track:5nujrmhLynf4yMoMtj8AQF,38794301
spotify:track:4nbWX2HzrOEnX4xxvYRCyU,39208484
spotify:track:1s59X35jDULAyOGmBuTAnd,39532122
spotify:track:5QO79kh1waicV47BqGRL3g,39829068
spotify:track:4iJyoBOLtHqaGxP12qzhQI,41048467
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,41144137
spotify:track:4H3t8C59tXjKf1R2iKtc5M,41824430
spotify:track:16ONd70tvWAaLIc6hcLzaG,42115618
spotify:track:05bfbizlM5AX6Mf1RRyMho,42410800
spotify:track:079Ey5uxL04AKPQgVQwx5h,42678478
spotify:track:7D93pJcwymzaZx8WgBo2zG,44518557
spotify:track:7E9GeFGfjXw9LAI4ay6rsw,45052936
spotify:track:1WvrDdouh6C51In1SdATbq,45736703
spotify:track:4loQgPwJHocL3dFwLfjb1J,49441911
spotify:track:4fSIb4hdOQ151TILNsSEaF,50315273
spotify:track:2FSGUA0gFgGeQdprjtGM2M,50786597
spotify:track:1yoMvmasuxZfqHEipJhRbp,55176279
spotify:track:6hf0RpxTbOprT5nnwzkk8e,56075847
spotify:track:2XIc1pqjXV3Cr2BQUGNBck,61136094
spotify:track:2dNhNlpZAtV4lwAFW45LIv,61255543
spotify:track:5RwV8BvLfX5injfqYodke9,65733487
spotify:track:1xK1Gg9SxG8fy2Ya373oqb,67491813
spotify:track:2rCbl9naJYhaxjLsfx88uM,73155313
spotify:track:6tDDoYIxWvMLTdKpjFkc1B,74503626
spotify:track:2JPLbjOn0wPCngEot2STUS,88058478
spotify:track:4MzXwWMhyBbmu6hOcLVD49,89982950
spotify:track:7Bk0uXKk1uPT0XuQbpFzvs,94288622
spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK,116313570
